likesCount,profileName,text
0,Acik Effa,Level 41-44 dijadikan platform menimba ilmu dan mengasah kemahiran dalam pengurusan ICT dan non-ICT. Secara tidak langsung memupuk minat dalam bidang2 IT yang berbeza. Tak boleh nak 'ambil tahu' semata-mata ...
0,Saiful Mazdi,Dulu ada diploma lanjutan tapi dimansuhkan... harap ada penambahbaikan untuk kelangsungan perkembangan SKIM F terutama pelaksana
5,Kub Haziq,maybe ketua-ketua jabatan agensi juga perlu ditegur agar skop kerja personel skim F tidak dicampur aduk dengan skop kerja skim lain...penilaian pegawai pertama dan kedua hrmis juga sebaiknya daripada JDN bukan lagi ketua jabatan agensi...
0,Azrul Bdg,"2027, 3 tahun lagi..."
0,Acik Effa,Masih adakah peluang Skim F (PPTM) dinaikkan pangkat ke PTM?
2,Hospital Kota Tinggi Johor - HKT,"Tolong beri 1 post tetap pegawai F di Hospital Kota Tinggi. Beban banyak staf sorang. Terima kasih. PPTM, Hospital Kota Tinggi."
0,Kub Haziq,Bersatu kita teguh bercerai kita roboh...
0,Daisy Fleur Rfu,Janganlah kita jadikan skim pengredan ini sebagai penghalang dalam usaha kita memperjuangkan hak bersama..kita kita juga pun
0,Daisy Fleur Rfu,"mohon jugak kepada para kelasi-kelasi skim F tak kira la samada skop kepakaran anda ada pada aplikasi (FA) atau Teknikal(FT). Sistem pengredan ini hanya untuk memudahkan rujukan para skim lain untuk membezakan perkhidmatan ikhtisas (perlu ada kelulusan dalam bidang khas-IT). Kita sama-sama kena berjuang duduk dalam perahu F dan kita ada KP sebagai kapten kapal...so, ready to row F-ians?"
1,Jaydinz Juppri,"Setuju sangat pasal PAC tu sebab kesian pegawai baru terus di arah jaga Projek dgn nilaian besar.... kebarangkalian projek gagal tinggi..... PAC juga bukan untuk lantikan baharu tetapi juga untuk org lama.... masih banyak bidang ICT bawah JDN yang tidak dikuasai dengan baik. Ilmu kewangan, penyediaan kontrak tu sangat penting bukan teknikal sahaja...."
3,Nurnajihan Nasoha,Setuju..orang IT di gov agencies macam2 dh buat kerja selain iT..so skill x build up huhu skill lain yg build up
0,Sheila Mahalingam,ada google form ke untuk yang berminat berkhidmat di JDN ?
0,Norhayaty Hasan,
0,Amy Krisya,"Kita ni tak serlahkan diri, mungkin pemalu dan kurang soft skill, sebab tu lah kurang promosi. Bila kurang promosi, org F dilihat sebagai kurang kerja di sesetengah agensi (bukan semua)"
0,ChandraVani Rajoo,saya juga
4,Are Peace,Masing2 ada kepakaran dalam bidang cuma kurang menyerlahkan diri.Tapi yg ni best dengor byk knowledge dapat.Terima kasih DR.
0,Zura Zuera,Terima kasih Dr
0,Sheila Mahalingam,Terima kasih dr .
0,Tembikai Longan,Betul tu. suara dr tenggelam timbul jdnya...
1,Amy Krisya,"Setakat ni ahli politik kenal kemahiran oleh F, bila PADU dibangunkan sepenuhnya oleh org F Kerajaan. Sebenarnya kita ada banyak produk lagi, tapi promosi agak lemah. Atau kena ada sessi Induksi untuk mereka"
1,Acik Effa,That's why kot my IT friends ramai yg left gomen and go for private sector. ☺️
1,Daisy Fleur Rfu,jom 3in1
0,Fizrul Shawal,ok2 jom cafe dlu..ngeteh
0,Adi Badiozaman Ruhani,mantul!
1,Rosnita Abdul Kahar,mic pengacara lebih kuat berbanding mic speaker dalam fb
5,Persatuan Juru Analisa Sistem Sektor Awam,Selesai sudah segmen pertama. Bicara asporasi bersama KP JDN akan bermula jam 11 pagi. Stay tune gais!
0,Athirah Taro Saharudin,Oh ada part 2
3,Shaharina Ahmad,Kita kena admit jugak yg kita not the best salesman dalam pasarkan produk IT. Ni kene tambah ilmu. Orang IT kita hebat2 semuanya
0,Armiza Arsad,terima kasih Dr
0,Sue Shuhaiza,Good speech... Bebelan berilmiah
0,ناصر حليم,Hafezan Majid MC rupenye
0,Azlan Bin Zamanhuri,Trima kasih urusetia..Kesatuan dan Persatuan skim F...salute
0,Pzu Ismail,Terima kasih DR
0,Muammar Jali,terima kasih DR
0,Sathiyaseelan Deivaseelan,Terima kasih Dr
2,Wan Amishah,"Cadangan :
1. Kekerapan pusingan kerja
2. Let the Manager’s (at Ministries level) manage."
3,Daisy Fleur Rfu,Say Hi to Dr Faz from us di MAMPU Sabah
1,Acik Effa,Bebel yang ni best dengor. Hehehe ...
1,Nzm Meor,mungkin boleh fokus kepada teknologi automasi di agensi-agensi. work smart.
2,Nuansa Formasi,"Assalamualaikum / Selamat Sejahtera tuan/puan. 

Tak dinafikan setiap pelan atau perancangan tambah baik apa pun bidang, apalagi ICT kita baik. Cuma minta tolong dapatkan data perjawatan skim f, buat pengasingan ikut jabatan dan skala perkhidmatan jabatan, kapasiti staf jabatan, operasi jabatan. maksud jabatan tu bukan kementerian atau sub nya ya seperti JKN. contoh 'jabatan' untuk KKM, Hospital dikira 1 jabatan.

Saya ambil contoh tempat saya bekerja Hosp Kota Tinggi. 
Staf lebih kurang 470 orang.
Operasi jabatan 24 jam. 
Unit banyak, aset ict +- 300 unit.
Komputer majoriti pc lama, lebih 7 tahun semasa, majoriti windows 7.
Personal skim f tetap yang ada sorang, PPTM. Pengurusan pusat data,  rangkaian, pelan perancangan tambah baik prasarana ict, perolehan, nak up to date skills dan pengetahuan. 
Attend meeting, training, handle aduan, permintaan jabatan, unit2, aset rosak fizikal, perisian, kena cari, baiki sendiri. Tak boleh baiki baru hantar baiki atau mohon perolehan selenggara atau beli perisian. 
Tapi bajet terlalu terhad, tak ada. 
Isu besarnya sekarang, staf tetap sorang, pptm pula, RASIONAL kah puan?

Ni yang nak minta JDN/mampu collect data perjawatan skim f setiap jabatan dan buat perbandingan dan pelanlah penempatan semula berdasarkan skop dan skala jabatan yang diberi perkhidmatan. 

Ni ada jabatan staf ict banyak, ada yang tak ada ada yang kurang. Jurang nampak sangat. WAJAR kah macam ni? Staf ict ada, cukup baru boleh gerakkan pelan-pelan MURNI JDN/MAMPU/JABATAN. 

MINTA TOLONG COLLECT DATA PERJAWATAN SKIM F SETIAP JABATAN DAN BUAT SEMULA PELARASAN MENGIKUT SKALA JABATAN. 

CADANGAN: BUAT PEMUSATAN SKIM F SETIAP DAERAH/SUB DAERAH, SATUKAN TEMPAT DUDUK SKIM F DI SUB/DAERAH2 INI. NANTI JABATAN2 KERAJAAN YANG BERHAMPIRAN INI BOLEH DI ATTEND/HANDLE BERSAMA, JADI BEBAN KERJA TU SAMA-SAMA DIHADAP. 

TERIMA KASIH. 

PPTM HOSP KOTA TINGGI"
3,Buat Ujian,Pusingan kerja kena buat .. supaya dok tepu kat se tempat sahaja ... bila dah ketulaaan tuh dah terbiasa .. motivasi kerja jadi down .. masalah akan jadi banyokk sebab duk wat ketulaan .. ngulat pun kuat
0,Tengku Mohd Faiz,mantap hehe! ^_^
0,Siti Ruzaimah,ehehe seronok dengar.. Dr
0,Yusuf Jaafar,mohon mudahkan laluan peningkatan kerjaya pd sume
0,Siti Ruzaimah,"makin bertambah, Dr"
0,Are Peace,pendek je slaid...
0,Muammar Jali,Setuju
2,Daisy Fleur Rfu,Program Pengukuhan Sahsiah Diri dan pemantapan jati diri Pegawai Skim F boleh diajar dan diasah sebelum dilepaskan di medan perjuangan..
0,Dzul Ishak,Belajar dr youtube?
1,Armiza Arsad,setuju..ape2 kita semua gred F kena bersatu hati
0,Daisy Fleur Rfu,Janganlah kita jadikan skim pengredan ini sebagai penghalang dalam usaha kita memperjuangkan hak bersama..kita kita juga pun
0,Adi Badiozaman Ruhani,mantul!
3,Nurnajihan Nasoha,Setuju..orang IT di gov agencies macam2 dh buat kerja selain iT..so skill x build up huhu skill lain yg build up
1,Acik Effa,That's why kot my IT friends ramai yg left gomen and go for private sector. ☺️
